Sample_No,Sample,Lithology,Glass,Clay10A,Clay14A,Analcime,Chabazite,Clinoptilolite,Erionite,Mordenite,Phillipsite,K_feldspar,Calcite,Quartz,Opal,Plagioclase,Other,Reference,Study_Area
SL0001,2-CT,Tuff,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Major,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0002,2-CB,Tuff,Absent,Absent,Trace,Absent,Absent,Absent,Absent,Absent,Absent,Major,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0003,2-B,Tuff,Absent,Absent,Trace,Absent,Absent,Absent,Absent,Absent,Absent,Major,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0004,2-A,Tuff,Absent,Absent,Minor,Minor,Absent,Absent,Absent,Absent,Absent,Minor,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0005,3-D,Tuff,Absent,Trace,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Major,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0006,3-C,Tuff,Absent,Trace,Absent,Major,Absent,Absent,Absent,Absent,Absent,Trace,Absent,Minor,Absent,Absent,Absent,4056,Barstow Formation
SL0007,3-A,Tuff,Absent,Trace,Minor,Absent,Absent,Major,Absent,Absent,Absent,Absent,Absent,Minor,Absent,Absent,Trace,4056,Barstow Formation
SL0008,3-B,Tuff,Absent,Trace,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Major,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0009,6-A,Tuff,Absent,Trace,Trace,Absent,Absent,Trace,Absent,Absent,Absent,Major,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0010,8-A,Tuff,Absent,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Major,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0011,13-A,Tuff,Absent,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Major,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0012,16-B,Tuff,Absent,Absent,Trace,Absent,Absent,Absent,Absent,Absent,Absent,Major,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0013,16-A,Tuff,Absent,Absent,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Major,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0014,17-A,Tuff,Absent,Minor,Trace,Absent,Absent,Absent,Absent,Absent,Absent,Major,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0015,18-B,Tuff,Absent,Trace,Minor,Absent,Absent,Major,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0016,18-A,Tuff,Absent,Trace,Minor,Absent,Absent,Major,Absent,Absent,Absent,Absent,Absent,Minor,Absent,Absent,Absent,4056,Barstow Formation
SL0017,19-SM-4-4A,Tuff,Absent,Absent,Trace,Absent,Absent,Major,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0018,19-SM-4-4B,Tuff,Absent,Minor,Trace,Absent,Absent,Minor,Absent,Absent,Absent,Absent,Absent,Minor,Absent,Absent,Absent,4056,Barstow Formation
SL0019,19-SM-4-4C,Tuff,Absent,Absent,Absent,Absent,Absent,Major,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0020,21-A,Tuff,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Minor,Absent,Major,Absent,Absent,Absent,4056,Barstow Formation
SL0021,21-B,Tuff,Absent,Absent,Minor,Absent,Absent,Major,Absent,Absent,Absent,Absent,Absent,Minor,Absent,Absent,Absent,4056,Barstow Formation
SL0022,22-B,Tuff,Absent,Minor,Absent,Absent,Absent,Minor,Absent,Absent,Absent,Minor,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0023,22-A,Tuff,Absent,Trace,Absent,Absent,Absent,Major,Trace,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0024,24-B,Tuff,Absent,Trace,Minor,Absent,Absent,Minor,Absent,Absent,Absent,Absent,Absent,Minor,Absent,Absent,Minor,4056,Barstow Formation
SL0025,24-A,Tuff,Absent,Trace,Minor,Absent,Absent,Major,Absent,Absent,Absent,Absent,Absent,Trace,Absent,Absent,Absent,4056,Barstow Formation
SL0026,26-C,Tuff,Absent,Trace,Minor,Minor,Absent,Minor,Trace,Absent,Absent,Absent,Minor,Minor,Absent,Absent,Minor,4056,Barstow Formation
SL0027,26-B,Tuff,Absent,Absent,Trace,Trace,Absent,Minor,Absent,Absent,Absent,Absent,Major,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0028,26-A,Tuff,Absent,Trace,Minor,Absent,Absent,Major,Absent,Absent,Absent,Absent,Trace,Absent,Absent,Absent,Trace,4056,Barstow Formation
SL0029,33-A,Tuff,Absent,Absent,Absent,Minor,Absent,Major,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0030,34-D,Tuff,Absent,Trace,Trace,Trace,Absent,Major,Absent,Absent,Absent,Minor,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0031,34-C,Tuff,Absent,Minor,Minor,Trace,Absent,Major,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0032,34-B,Tuff,Absent,Minor,Minor,Absent,Absent,Minor,Absent,Absent,Absent,Absent,Absent,Minor,Absent,Absent,Minor,4056,Barstow Formation
SL0033,34-A,Tuff,Absent,Minor,Trace,Minor,Absent,Major,Absent,Absent,Absent,Absent,Absent,Trace,Absent,Absent,Absent,4056,Barstow Formation
SL0034,36-C,Tuff,Absent,Absent,Trace,Absent,Absent,Major,Trace,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0035,36-B,Tuff,Absent,Absent,Trace,Absent,Absent,Major,Absent,Absent,Absent,Absent,Absent,Minor,Absent,Absent,Absent,4056,Barstow Formation
SL0036,36-A,Tuff,Absent,Absent,Trace,Absent,Absent,Major,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0037,37-B,Tuff,Absent,Absent,Minor,Absent,Absent,Major,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0038,37-A,Tuff,Absent,Absent,Absent,Absent,Absent,Major,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0039,38-C,Tuff,Absent,Absent,Minor,Minor,Absent,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0040,38-B,Tuff,Absent,Trace,Absent,Minor,Absent,Major,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0041,39-B,Tuff,Absent,Absent,Trace,Minor,Absent,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0042,39-A,Tuff,Absent,Absent,Trace,Minor,Absent,Major,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0043,42-SM-6-2D,Tuff,Absent,Trace,Minor,Minor,Absent,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
SL0044,42-SM-6-2C,Tuff,Absent,Minor,Minor,Absent,Absent,Minor,Minor,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,4056,Barstow Formation
