Mineral,Lithology,Abundance,Density,Id,Density_N,Total,Norm1,TotNorm,Multiply,Final
Glass,Tuff,Trace,4,1,1,257,0.015564202,0.269392034,0.004192872,0.419287212
Glass,Tuff,Minor,139,1,28,257,0.540856031,0.269392034,0.145702306,14.57023061
Glass,Tuff,Major,114,1,23,257,0.443579767,0.269392034,0.119496855,11.94968553
Clay10A,Tuff,Trace,317,2,63,645,0.491472868,0.676100629,0.332285115,33.22851153
Clay10A,Tuff,Minor,324,2,65,645,0.502325581,0.676100629,0.339622642,33.96226415
Clay10A,Tuff,Major,4,2,1,645,0.00620155,0.676100629,0.004192872,0.419287212
Clay14A,Tuff,Trace,330,3,66,954,0.34591195,1,0.34591195,34.59119497
Clay14A,Tuff,Minor,604,3,121,954,0.63312369,1,0.63312369,63.31236897
Clay14A,Tuff,Major,20,3,4,954,0.020964361,1,0.020964361,2.096436059
Analcime,Tuff,Trace,28,4,6,264,0.106060606,0.27672956,0.029350105,2.935010482
Analcime,Tuff,Minor,165,4,33,264,0.625,0.27672956,0.172955975,17.29559748
Analcime,Tuff,Major,71,4,14,264,0.268939394,0.27672956,0.07442348,7.442348008
Chabazite,Tuff,Trace,35,5,7,163,0.214723926,0.170859539,0.036687631,3.668763103
Chabazite,Tuff,Minor,86,5,17,163,0.527607362,0.170859539,0.090146751,9.014675052
Chabazite,Tuff,Major,42,5,8,163,0.257668712,0.170859539,0.044025157,4.402515723
Clinoptilolite,Tuff,Trace,119,6,24,818,0.145476773,0.857442348,0.124737945,12.47379455
Clinoptilolite,Tuff,Minor,448,6,90,818,0.547677262,0.857442348,0.469601677,46.96016771
Clinoptilolite,Tuff,Major,251,6,50,818,0.306845966,0.857442348,0.263102725,26.31027254
Erionite,Tuff,Trace,107,7,21,379,0.2823219,0.397274633,0.112159329,11.21593291
Erionite,Tuff,Minor,210,7,42,379,0.55408971,0.397274633,0.220125786,22.01257862
Erionite,Tuff,Major,62,7,12,379,0.163588391,0.397274633,0.064989518,6.498951782
Mordenite,Tuff,Trace,11,8,2,113,0.097345133,0.118448637,0.011530398,1.153039832
Mordenite,Tuff,Minor,54,8,11,113,0.477876106,0.118448637,0.056603774,5.660377358
Mordenite,Tuff,Major,48,8,10,113,0.424778761,0.118448637,0.050314465,5.031446541
Phillipsite,Tuff,Trace,36,9,7,282,0.127659574,0.295597484,0.037735849,3.773584906
Phillipsite,Tuff,Minor,179,9,36,282,0.634751773,0.295597484,0.187631027,18.76310273
Phillipsite,Tuff,Major,67,9,13,282,0.237588652,0.295597484,0.070230608,7.023060797
Calcite,Tuff,Trace,133,10,27,285,0.466666667,0.298742138,0.139412998,13.94129979
Calcite,Tuff,Minor,136,10,27,285,0.477192982,0.298742138,0.142557652,14.2557652
Calcite,Tuff,Major,16,10,3,285,0.056140351,0.298742138,0.016771488,1.677148847
Kfeldspar,Tuff,Trace,40,11,8,394,0.101522843,0.412997904,0.041928721,4.192872117
Kfeldspar,Tuff,Minor,199,11,40,394,0.505076142,0.412997904,0.208595388,20.85953878
Kfeldspar,Tuff,Major,155,11,31,394,0.393401015,0.412997904,0.162473795,16.24737945
Feldspar,Tuff,Trace,126,12,25,412,0.305825243,0.431865828,0.132075472,13.20754717
Feldspar,Tuff,Minor,266,12,53,412,0.645631068,0.431865828,0.278825996,27.88259958
Feldspar,Tuff,Major,20,12,4,412,0.048543689,0.431865828,0.020964361,2.096436059
Quartz,Tuff,Trace,54,13,11,330,0.163636364,0.34591195,0.056603774,5.660377358
Quartz,Tuff,Minor,238,13,48,330,0.721212121,0.34591195,0.249475891,24.9475891
Quartz,Tuff,Major,38,13,8,330,0.115151515,0.34591195,0.039832285,3.983228512
Opal,Tuff,Trace,16,14,3,197,0.081218274,0.206498952,0.016771488,1.677148847
Opal,Tuff,Minor,153,14,31,197,0.776649746,0.206498952,0.160377358,16.03773585
Opal,Tuff,Major,28,14,6,197,0.14213198,0.206498952,0.029350105,2.935010482
Other,Tuff,Trace,200,15,40,360,0.555555556,0.377358491,0.209643606,20.96436059
Other,Tuff,Minor,147,15,29,360,0.408333333,0.377358491,0.15408805,15.40880503
Other,Tuff,Major,13,15,3,360,0.036111111,0.377358491,0.013626834,1.362683438
,Tuff,,,16,,,,,,
,Tuff,,,16,,,,,,
,Tuff,,,16,,,,,,
,Tuff,,,17,,,,,,
,Tuff,,,17,,,,,,
,Tuff,,,17,,,,,,
Glass,Mudstone,Trace,1,18,1,17,0.058823529,0.046195652,0.002717391,0.27173913
Glass,Mudstone,Minor,14,18,5,17,0.823529412,0.046195652,0.038043478,3.804347826
Glass,Mudstone,Major,2,18,1,17,0.117647059,0.046195652,0.005434783,0.543478261
Clay10A,Mudstone,Trace,80,19,27,314,0.25477707,0.85326087,0.217391304,21.73913043
Clay10A,Mudstone,Minor,226,19,75,314,0.719745223,0.85326087,0.614130435,61.41304348
Clay10A,Mudstone,Major,8,19,3,314,0.025477707,0.85326087,0.02173913,2.173913043
Clay14A,Mudstone,Trace,68,20,23,368,0.184782609,1,0.184782609,18.47826087
Clay14A,Mudstone,Minor,270,20,90,368,0.733695652,1,0.733695652,73.36956522
Clay14A,Mudstone,Major,30,20,10,368,0.081521739,1,0.081521739,8.152173913
Analcime,Mudstone,Trace,19,21,6,104,0.182692308,0.282608696,0.051630435,5.163043478
Analcime,Mudstone,Minor,78,21,26,104,0.75,0.282608696,0.211956522,21.19565217
Analcime,Mudstone,Major,7,21,2,104,0.067307692,0.282608696,0.019021739,1.902173913
Chabazite,Mudstone,Trace,22,22,7,52,0.423076923,0.141304348,0.059782609,5.97826087
Chabazite,Mudstone,Minor,28,22,9,52,0.538461538,0.141304348,0.076086957,7.608695652
Chabazite,Mudstone,Major,2,22,1,52,0.038461538,0.141304348,0.005434783,0.543478261
Clinoptilolite,Mudstone,Trace,21,23,7,74,0.283783784,0.201086957,0.057065217,5.706521739
Clinoptilolite,Mudstone,Minor,51,23,17,74,0.689189189,0.201086957,0.138586957,13.85869565
Clinoptilolite,Mudstone,Major,2,23,1,74,0.027027027,0.201086957,0.005434783,0.543478261
Erionite,Mudstone,Trace,9,24,3,46,0.195652174,0.125,0.024456522,2.445652174
Erionite,Mudstone,Minor,35,24,12,46,0.760869565,0.125,0.095108696,9.510869565
Erionite,Mudstone,Major,2,24,1,46,0.043478261,0.125,0.005434783,0.543478261
Mordenite,Mudstone,Trace,2,25,1,5,0.4,0.013586957,0.005434783,0.543478261
Mordenite,Mudstone,Minor,1,25,1,5,0.2,0.013586957,0.002717391,0.27173913
Mordenite,Mudstone,Major,2,25,1,5,0.4,0.013586957,0.005434783,0.543478261
Phillipsite,Mudstone,Trace,43,26,14,107,0.401869159,0.29076087,0.116847826,11.68478261
Phillipsite,Mudstone,Minor,60,26,20,107,0.560747664,0.29076087,0.163043478,16.30434783
Phillipsite,Mudstone,Major,4,26,1,107,0.037383178,0.29076087,0.010869565,1.086956522
Calcite,Mudstone,Trace,21,27,7,315,0.066666667,0.855978261,0.057065217,5.706521739
Calcite,Mudstone,Minor,163,27,54,315,0.517460317,0.855978261,0.442934783,44.29347826
